196.9222;53;31.794499999999992;1500;21;0.0325;0.3611;121.4390
196.9222;53;31.794499999999992;1500;51;0.0331;0.3678;122.2095
196.9222;53;31.794499999999992;1500;8;0.0349;0.3357;123.5599
196.9222;53;31.794499999999992;2000;21;0.0431;0.3053;127.0417
196.9222;53;31.794499999999992;2000;51;0.0321;0.3462;121.5927
196.9222;53;31.794499999999992;2000;8;0.0420;0.3451;129.1538
196.9222;53;31.794499999999992;2500;21;0.0540;0.2290;143.6549
196.9222;53;31.794499999999992;2500;51;0.0328;0.3828;122.2248
196.9222;53;31.794499999999992;2500;8;0.0565;0.2367;161.7224
196.9222;29;18.094199999999997;1500;21;0.0325;0.3617;121.4624
196.9222;29;18.094199999999997;1500;51;0.0330;0.3679;122.3445
196.9222;29;18.094199999999997;1500;8;0.0347;0.3372;123.4748
196.9222;29;18.094199999999997;2000;21;0.0390;0.3188;119.6432
196.9222;29;18.094199999999997;2000;51;0.0321;0.3457;121.6731
196.9222;29;18.094199999999997;2000;8;0.0434;0.3324;132.0921
196.9222;29;18.094199999999997;2500;21;0.0541;0.2286;144.8650
196.9222;29;18.094199999999997;2500;51;0.0328;0.3830;122.3286
196.9222;29;18.094199999999997;2500;8;0.0557;0.2426;159.7207
196.9222;18;13.264099999999997;1500;21;0.0325;0.3620;121.6250
196.9222;18;13.264099999999997;1500;51;0.0330;0.3680;122.4654
196.9222;18;13.264099999999997;1500;8;0.0347;0.3372;123.5076
196.9222;18;13.264099999999997;2000;21;0.0391;0.3168;119.3304
196.9222;18;13.264099999999997;2000;51;0.0321;0.3459;121.6127
196.9222;18;13.264099999999997;2000;8;0.0428;0.3376;131.0006
196.9222;18;13.264099999999997;2500;21;0.0528;0.2366;141.5270
196.9222;18;13.264099999999997;2500;51;0.0328;0.3828;122.1843
196.9222;18;13.264099999999997;2500;8;0.0558;0.2414;160.0182
196.9222;9;9.312199999999999;1500;21;0.0325;0.3614;121.2400
196.9222;9;9.312199999999999;1500;51;0.0329;0.3681;122.8838
196.9222;9;9.312199999999999;1500;8;0.0347;0.3369;123.4730
196.9222;9;9.312199999999999;2000;21;0.0359;0.3265;114.8556
196.9222;9;9.312199999999999;2000;51;0.0321;0.3455;121.6901
196.9222;9;9.312199999999999;2000;8;0.0472;0.3012;143.3239
196.9222;9;9.312199999999999;2500;21;0.0501;0.2524;136.9982
196.9222;9;9.312199999999999;2500;51;0.0328;0.3828;122.2688
196.9222;9;9.312199999999999;2500;8;0.0552;0.2464;159.1931
196.9222;0;0;1500;21;0.0326;0.3623;120.4548
196.9222;0;0;1500;51;0.0326;0.3639;123.4572
196.9222;0;0;1500;8;0.0342;0.3420;124.5141
196.9222;0;0;2000;21;0.0433;0.3017;127.9108
196.9222;0;0;2000;51;0.0321;0.3455;121.4842
196.9222;0;0;2000;8;0.0428;0.3419;129.7559
196.9222;0;0;2500;21;0.0526;0.2370;139.6080
196.9222;0;0;2500;51;0.0328;0.3831;122.1408
196.9222;0;0;2500;8;0.0556;0.2416;159.1731
