0;1500;21;6.501683e-05
0;1500;51;5.51911e-05
0;1500;8;5.4759592e-05
0;2000;21;4.0511048e-05
0;2000;51;3.4739332e-05
0;2000;8;4.3072945e-05
0;2500;21;2.9162788e-05
0;2500;51;3.271102e-05
0;2500;8;3.5192174e-05
1;1500;21;5.204498e-05
1;1500;51;4.3099873e-05
1;1500;8;4.3090007e-05
1;2000;21;3.6262976e-05
1;2000;51;3.120501e-05
1;2000;8;3.8422037e-05
1;2500;21;2.2964361e-05
1;2500;51;2.3494496e-05
1;2500;8;2.9714063e-05
2;1500;21;5.3768832e-05
2;1500;51;4.5704495e-05
2;1500;8;4.501098e-05
2;2000;21;3.940568e-05
2;2000;51;3.408009e-05
2;2000;8;4.000498e-05
2;2500;21;2.4672705e-05
2;2500;51;2.4674373e-05
2;2500;8;3.2571836e-05
3;1500;21;5.984967e-05
3;1500;51;5.03675e-05
3;1500;8;4.387969e-05
3;2000;21;4.2434014e-05
3;2000;51;3.9897182e-05
3;2000;8;4.398811e-05
3;2500;21;2.3736648e-05
3;2500;51;2.7501676e-05
3;2500;8;3.390063e-05
4;1500;21;0.00015958659
4;1500;51;0.00012883822
4;1500;8;0.00012371903
4;2000;21;0.00012324064
4;2000;51;0.0001187615
4;2000;8;0.00014693178
4;2500;21;6.891907e-05
4;2500;51;7.390903e-05
4;2500;8;6.463897e-05
